race,linked_fate,linked_progress,linked_hurt,party_id,WEIGHT,AGE,Gender,party_reg,for_born,income_level,edu_level
Latinx,-2,-2,-2,3,0.43553,54,2,Decline to State,2,5,7
Latinx,-1,-1,-1,1,2.14697,42,2,Democrat,1,3,7
Latinx,2,2,2,4,4.88084,18,1,Other,1,1,2
Whites,1,-1,-1,1,0.21326,23,1,Decline to State,1,4,7
Whites,2,1,-1,1,0.53075,75,2,Democrat,1,6,7
Asians,2,1,-1,3,0.53565,37,1,Decline to State,1,6,7
Whites,2,1,1,2,1.40102,58,2,Republican,1,5,5
Other,2,-2,2,3,0.73754,29,1,Republican,1,3,6
Asians,2,2,2,1,1.18097,19,2,Democrat,1,6,5
Asians,2,1,1,4,0.57689,29,1,Decline to State,1,5,8
